Type,Age,Gender,Vaccinated,Spayed/Neutered,AdoptionStory,Extracted_Temperaments
Cat,Kitten,Male,No,No,adopted,cute
Dog,Adult,Male,Yes,No,adopted,playful
Cat,Kitten,Female,No,No,adopted,"playful, active, cute"
Dog,Puppy,Male,Not Sure,Not Sure,rescued,"friendly, smart"
Cat,Kitten,Female,No,No,adopted,"active, cute"
Dog,Puppy,Male,Yes,Yes,adopted,playful
Dog,Puppy,Male,No,No,rescued,active
Dog,Puppy,Male,No,No,adopted,"funny, active"
Cat,Kitten,Male,No,No,adopted,"playful, active"
Dog,Puppy,Female,No,No,adopted,"active, cute"
Dog,Puppy,Male,Yes,Yes,rescued,"sweet, friendly, sweet"
Dog,Adult,Male,Yes,No,adopted,"friendly, playful, active, obedient, smart"
Cat,Kitten,Male,No,No,adopted,"fast, warm"
Cat,Kitten,Female,No,No,adopted,active
Dog,Adult,Female,No,Yes,adopted,"loving, active, fast"
Dog,Puppy,Female,Not Sure,Not Sure,rescued,friendly
Cat,Kitten,Female,No,No,adopted,"active, protective"
Dog,Adult,Female,Not Sure,Not Sure,rescued,loving
Dog,Puppy,Female,No,No,rescued,loving
Dog,Puppy,Female,No,Not Sure,rescued,"sweet, active"
Cat,Adult,Male,No,No,rescued,"active, playful, smart, cute"
Dog,Adult,Male,Yes,Yes,rescued,sweet
Dog,Puppy,Female,Not Sure,Not Sure,rescued,"friendly, gentle, playful, loving"
Dog,Puppy,Female,Yes,No,adopted,cute
Cat,Adult,Male,No,No,adopted,playful
Dog,Puppy,Female,Yes,Yes,adopted,"active, cute"
Dog,Puppy,Female,Yes,Not Sure,adopted,"loving, playful"
Dog,Adult,Male,Yes,Yes,adopted,"cute, smart, friendly"
Cat,Kitten,Female,No,No,adopted,sweet
Dog,Puppy,Female,No,No,adopted,"playful, affectionate"
Dog,Adult,Male,Yes,No,adopted,smart
Cat,Kitten,Male,No,No,adopted,"active, friendly"
Cat,Adult,Female,Yes,Yes,adopted,sweet
Dog,Adult,Male,Yes,No,adopted,"docile, friendly"
Dog,Puppy,Female,Yes,No,rescued,"playful, friendly"
Dog,Puppy,Female,No,No,adopted,"friendly, active, loving"
Cat,Kitten,Male,Yes,Yes,adopted,"cute, playful"
Cat,Kitten,Male,Yes,No,rescued,"loving, playful, affectionate"
Dog,Puppy,Female,Yes,Yes,rescued,"loving, loving, friendly"
Dog,Puppy,Female,Not Sure,Yes,adopted,"playful, friendly"
Cat,Kitten,Male,No,No,adopted,playful
Dog,Puppy,Female,Yes,Yes,adopted,"cute, friendly"
Dog,Puppy,Female,Yes,No,adopted,loving
Cat,Adult,Female,No,Not Sure,adopted,"cute, easy"
Cat,Kitten,Female,Yes,No,adopted,soft
Cat,Adult,Female,Yes,Yes,rescued,affectionate
Cat,Kitten,Male,No,No,adopted,playful
Dog,Puppy,Male,No,No,adopted,loving
Dog,Adult,Male,No,No,adopted,active
Dog,Puppy,Female,Not Sure,Not Sure,adopted,active
Cat,Kitten,Male,No,No,adopted,"cute, soft"
Cat,Kitten,Male,Yes,Yes,adopted,"active, playful"
Cat,Adult,Female,Yes,Yes,adopted,"playful, loving"
Cat,Adult,Male,Yes,Yes,rescued,active
Cat,Kitten,Male,Yes,No,adopted,"friendly, playful"
Dog,Puppy,Male,No,No,rescued,friendly
Dog,Puppy,Male,No,No,adopted,active
Dog,Puppy,Male,Not Sure,Not Sure,rescued,"cute, active, smart"
Dog,Puppy,Male,No,No,adopted,playful
Dog,Puppy,Male,Yes,No,rescued,"friendly, playful"
Cat,Kitten,Female,Yes,No,adopted,friendly
Cat,Kitten,Female,No,No,rescued,playful
Dog,Adult,Male,Yes,Yes,adopted,friendly
Dog,Adult,Female,Not Sure,No,rescued,loving
Dog,Adult,Female,Yes,No,adopted,"loyal, playful"
Dog,Adult,Male,Yes,No,adopted,active
Dog,Adult,Male,Yes,Yes,adopted,"friendly, playful"
Dog,Adult,Female,Yes,Yes,rescued,friendly
Dog,Adult,Male,Yes,Yes,rescued,"gentle, friendly"
Dog,Puppy,Female,No,No,rescued,"loving, loving"
Dog,Adult,Female,Yes,Yes,rescued,loving
Dog,Puppy,Female,Yes,No,adopted,obedient
Dog,Adult,Female,Yes,Yes,rescued,"loving, loving"
Cat,Kitten,Female,Yes,No,rescued,"active, easy"
Cat,Adult,Female,Yes,Yes,adopted,friendly
Dog,Puppy,Female,Yes,No,rescued,fast
Cat,Kitten,Female,No,No,rescued,obedient
Dog,Puppy,Female,No,No,adopted,"active, playful"
Dog,Puppy,Female,No,No,adopted,loving
Dog,Puppy,Male,No,No,rescued,loving
Dog,Adult,Male,Yes,No,adopted,fast
Cat,Adult,Female,Yes,Yes,rescued,loving
Dog,Adult,Male,No,No,rescued,"cute, active, energetic"
Cat,Kitten,Female,No,No,adopted,"affectionate, active, playful"
Cat,Kitten,Female,No,No,rescued,active
Cat,Adult,Female,Yes,Yes,adopted,"funny, playful"
Dog,Puppy,Female,Yes,Not Sure,adopted,cute
Dog,Adult,Female,Yes,Yes,adopted,"friendly, friendly"
Dog,Adult,Female,Not Sure,Not Sure,adopted,playful
Cat,Kitten,Female,Yes,Yes,adopted,cute
Cat,Adult,Male,Yes,Yes,adopted,friendly
Dog,Puppy,Female,Not Sure,Not Sure,adopted,loving
Cat,Adult,Male,No,No,rescued,"friendly, obedient"
Cat,Adult,Female,Yes,Yes,adopted,loyal
Cat,Kitten,Female,No,No,rescued,"cute, calm"
Cat,Kitten,Male,No,Yes,adopted,friendly
Dog,Puppy,Male,Yes,No,rescued,"playful, active"
Dog,Puppy,Female,No,No,adopted,cute
Cat,Kitten,Male,No,No,adopted,sweet
Cat,Kitten,Male,Yes,Yes,adopted,active
Cat,Kitten,Female,No,No,adopted,main
Dog,Puppy,Female,Yes,Not Sure,adopted,friendly
Dog,Puppy,Female,Yes,Yes,adopted,fast
Dog,Puppy,Male,Yes,No,rescued,cute
Cat,Kitten,Female,No,No,adopted,"cute, active"
Dog,Puppy,Female,Yes,No,rescued,"sweet, loving"
Cat,Kitten,Female,No,No,adopted,"playful, friendly"
Dog,Puppy,Male,Yes,No,adopted,playful
Cat,Kitten,Male,No,Yes,adopted,playful
Dog,Adult,Female,Not Sure,Not Sure,adopted,warm
Dog,Puppy,Female,Yes,No,adopted,active
Dog,Puppy,Female,No,No,rescued,friendly
Cat,Kitten,Female,Yes,No,rescued,"loving, curious"
Dog,Puppy,Female,Yes,No,rescued,loving
Dog,Adult,Female,No,No,adopted,playful
Cat,Kitten,Male,Yes,No,adopted,"warm, fast"
Dog,Adult,Female,No,Yes,rescued,friendly
Dog,Adult,Male,Yes,Yes,rescued,active
Dog,Adult,Male,Yes,Yes,adopted,"playful, smart"
Dog,Adult,Female,Yes,Yes,adopted,"loving, friendly, loving, obedient"
Cat,Adult,Male,Yes,Yes,rescued,"sweet, smart"
Cat,Kitten,Female,No,No,adopted,affectionate
